规范中文名,规范日文名,IP来源,是否纳入日本主分析,匹配别名
H2O,H2O -FOOTPRINTS IN THE SAND-,日本,是,H2O -FOOTPRINTS IN THE SAND-|H2O|H2O-FOOTPRINTSINTHESAND-|FOOTPRINTS IN THE SAND
纯情房东俏房客,ラブひな,日本,是,ラブひな|纯情房东俏房客
草莓100%,いちご100%,日本,是,いちご100%|草莓100%
强气女孩,つよきす,日本,是,つよきす|强气女孩
我的青春恋爱物语果然有问题,やはり俺の青春ラブコメはまちがっている。,日本,是,やはり俺の青春ラブコメはまちがっている。|我的青春恋爱物语果然有问题|やはりゲームでも俺の青春ラブコメはまちがっている|やはりゲームでも俺の青春ラブコメはまちがっている。|俺ガイル
架空战记ProjektPanzer,架空戦記ProjektPanzer,日本,否,架空戦記ProjektPanzer|架空战记ProjektPanzer|架空战记系列|架空戦記|ProjektPanzer|ProjectFlieger|ProjektFlieger
BIGED系列,BIGEDシリーズ,日本,否,BIGEDシリーズ|BIGED系列
世界的翼,世界の翼,日本,否,世界の翼|世界的翼
迷糊餐厅,WORKING!!,日本,是,WORKING!!|迷糊餐厅|ワーキング!!|WORKING|ワーキング|WORKING'!!|WORKING’!!
单色莫比乌斯,モノクロームメビウス 刻ノ代贖,日本,是,モノクロームメビウス 刻ノ代贖|单色莫比乌斯|モノクロームメビウス刻ノ代贖
ToHeart2,ToHeart2,日本,是,ToHeart2|向坂環
现视研,げんしけん,日本,是,げんしけん|现视研
王菲,フェイ・ウォン,跨国,否,フェイ・ウォン|王菲
舞-HIME Zwei,舞-HIME Zwei,日本,是,舞-HIME Zwei|舞-HIMEZwei
すばらしき日々,すばらしき日々,日本,是,すばらしき日々
天上の虹,天上の虹,日本,是,天上の虹
学園BASARA,学園BASARA,日本,是,学園BASARA
大逆转裁判,大逆転裁判,日本,是,大逆転裁判|大逆转裁判
灰色の貴婦人,灰色の貴婦人,日本,是,灰色の貴婦人
つぶやきあつめ,つぶやきあつめ,日本,是,つぶやきあつめ
あっちこっちどっち,あっちこっちどっち,日本,是,あっちこっちどっち
ざ・ちぇんじ!,ざ・ちぇんじ!,日本,是,ざ・ちぇんじ!
ガラスの城,ガラスの城,日本,是,ガラスの城
ずっと真夜中でいいのに。,ずっと真夜中でいいのに。,日本,否,ずっと真夜中でいいのに。
異国迷路のクロワーゼ,異国迷路のクロワーゼ,日本,是,異国迷路のクロワーゼ
クリスタル☆ドラゴン,クリスタル☆ドラゴン,日本,是,クリスタル☆ドラゴン
迷い猫オーバーラン!,迷い猫オーバーラン!,日本,是,迷い猫オーバーラン!
魔进战队煌铠者,魔進戦隊キラメイジャー,日本,是,魔進戦隊キラメイジャー|魔进战队煌铠者
境界触发者,ワールドトリガー,日本,是,ワールドトリガー|境界触发者
动物战队兽王者,動物戦隊ジュウオウジャー,日本,是,動物戦隊ジュウオウジャー|动物战队兽王者
AngelBeats!,AngelBeats!,日本,是,AngelBeats!
安室奈美惠,安室奈美恵,日本,否,安室奈美恵|安室奈美惠
百鬼夜行シリーズ,百鬼夜行シリーズ,日本,否,百鬼夜行シリーズ
アサルトリリィ,アサルトリリィ,日本,是,アサルトリリィ
ピングー,ピングー,日本,是,ピングー
攻壳机动队,攻殻機動隊,日本,是,攻殻機動隊|攻壳机动队
轟轟戦隊ボウケンジャー,轟轟戦隊ボウケンジャー,日本,是,轟轟戦隊ボウケンジャー
神曲奏界,神曲奏界ポリフォニカ,日本,是,神曲奏界ポリフォニカ|神曲奏界
マビノギ,マビノギ,日本,是,マビノギ
逆転検事2,逆転検事2,日本,是,逆転検事2
ストライクウィッチーズ,ストライクウィッチーズ,日本,是,ストライクウィッチーズ
パンプキン・シザーズ,パンプキン・シザーズ,日本,是,パンプキン・シザーズ
超昂天使エスカレイヤー,超昂天使エスカレイヤー,日本,是,超昂天使エスカレイヤー
スーパーロボット大戦OG,スーパーロボット大戦OG,日本,是,スーパーロボット大戦OG|スーパーロボット大戦|スパロボ
血界战线,血界戦線,日本,是,血界戦線|血界战线
暁の護衛,暁の護衛,日本,是,暁の護衛
辉夜大小姐想让我告白,かぐや様は告らせたい,日本,是,かぐや様は告らせたい|辉夜大小姐想让我告白
Candyboy,Candyboy,日本,是,Candyboy|Candy☆Boy|Candy Boy|櫻井雪乃|櫻井奏|神山咲夜
学園黙示録 ハイスクール・オブ・ザ・デッド,学園黙示録 ハイスクール・オブ・ザ・デッド,日本,是,学園黙示録 ハイスクール・オブ・ザ・デッド|学園黙示録ハイスクール・オブ・ザ・デッド|ハイスクール・オブ・ザ・デッド
舞-HiME,舞-HiME,日本,是,舞-HiME
衛宮さんちの今日のごはん,衛宮さんちの今日のごはん,日本,是,衛宮さんちの今日のごはん
塵骸魔京,塵骸魔京,日本,是,塵骸魔京
ビッグスケールシリーズ,ビッグスケールシリーズ,日本,否,ビッグスケールシリーズ
純潔のマリア,純潔のマリア,日本,是,純潔のマリア
魁!! クロマティ高校,魁!! クロマティ高校,日本,是,魁!! クロマティ高校|魁!!クロマティ高校
笛の約束,笛の約束,日本,是,笛の約束
女神さまと私,女神さまと私,日本,是,女神さまと私
まぼろしの花嫁,まぼろしの花嫁,日本,是,まぼろしの花嫁
SWAN　スワン　白鳥,SWAN　スワン　白鳥,日本,是,SWAN　スワン　白鳥|SWANスワン白鳥
家庭教師ヒットマンREBORN!,家庭教師ヒットマンREBORN!,日本,是,家庭教師ヒットマンREBORN!
ユーロジェットコレクション2,ユーロジェットコレクション2,日本,否,ユーロジェットコレクション2
ボーイングコレクション,ボーイングコレクション,日本,否,ボーイングコレクション
BANANA FISH,BANANAFISH,日本,是,BANANAFISH|BANANA FISH|Banana Fish|アッシュ・リンクス|奥村英二
欧洲喷气机收藏,ユーロジェットコレクション,日本,否,ユーロジェットコレクション|ユーロジェットコレクション2
约翰·特拉沃尔塔,John Travolta,日本,否,John Travolta|约翰·特拉沃尔塔|JohnTravolta
仲村宗悟,仲村宗悟,日本,否,仲村宗悟
苍之封印,蒼の封印,日本,是,蒼の封印|苍之封印
KinKi Kids,KinKi Kids,日本,否,KinKi Kids|KinKiKids
Kiroro,Kiroro,日本,否,Kiroro
CLAMP,CLAMP,日本,是,CLAMP|CLAMP in 3-D LAND
中岛美嘉,中島美嘉,日本,否,中島美嘉|中岛美嘉|JAPONESQUE
巡逻机收藏,哨戒機コレクション,日本,否,哨戒機コレクション|巡逻机收藏
最后流亡,LAST EXILE,日本,是,LAST EXILE|最后流亡|LASTEXILE|ラストエグザイル
恶魔编年史,デモンズクロニクル,日本,否,デモンズクロニクル|恶魔编年史|デモンズ・クロニクル|デモンズ・クロニクルIII|デモンズクロニクルIX
FORTUNE ARTERIAL,FORTUNE ARTERIAL,日本,是,FORTUNE ARTERIAL|FORTUNEARTERIAL
巴士收藏系列,ザ・バスコレクション,日本,否,ザ・バスコレクション|巴士收藏系列
我们的太阳,ボクらの太陽,日本,是,ボクらの太陽|我们的太阳
勇者斗恶龙,ドラゴンクエスト,日本,是,ドラゴンクエスト|勇者斗恶龙
ダンタリアンの書架,ダンタリアンの書架,日本,是,ダンタリアンの書架
夜明前的琉璃色,夜明け前より瑠璃色な,日本,是,夜明け前より瑠璃色な|夜明前的琉璃色
メタルスラッグX,メタルスラッグX,日本,是,メタルスラッグX
MOTHER,MOTHER,日本,是,MOTHER
ドリームハイ2,ドリームハイ2,日本,是,ドリームハイ2
メタルギア・ソリッド2～サンズ・オブ・リバティー,メタルギア・ソリッド2～サンズ・オブ・リバティー,日本,是,メタルギア・ソリッド2～サンズ・オブ・リバティー
悪魔城ドラキュラX月下の夜想曲,悪魔城ドラキュラX月下の夜想曲,日本,是,悪魔城ドラキュラX月下の夜想曲
クロネコ彼氏,クロネコ彼氏,日本,是,クロネコ彼氏
騎士竜戦隊リュウソウジャー,騎士竜戦隊リュウソウジャー,日本,是,騎士竜戦隊リュウソウジャー
百兽战队牙吠连者,百獣戦隊ガオレンジャー,日本,是,百獣戦隊ガオレンジャー|百兽战队牙吠连者
かんなぎ,かんなぎ,日本,是,かんなぎ
咎狗之血,咎狗の血,日本,是,咎狗の血|咎狗之血
龍族-TheBlazingDawn-,龍族-TheBlazingDawn-,日本,是,龍族-TheBlazingDawn-
金色のコルダ2ff,金色のコルダ2ff,日本,是,金色のコルダ2ff
卡里古拉,Caligula -カリギュラ-,日本,是,Caligula -カリギュラ-|卡里古拉|Caligula-カリギュラ-|響鍵介
搭档任务BOND,バディミッションBOND,日本,是,バディミッションBOND|搭档任务BOND|バディミッション BOND|Buddy Mission BOND
九龍妖魔學園紀,九龍妖魔學園紀,日本,是,九龍妖魔學園紀
イニシャルD・ザ・ムービー,イニシャルD・ザ・ムービー,日本,是,イニシャルD・ザ・ムービー
東亰ザナドゥ,東亰ザナドゥ,日本,是,東亰ザナドゥ
れでぃ×ばと!,れでぃ×ばと!,日本,是,れでぃ×ばと!
強殖装甲ガイバー#1,強殖装甲ガイバー#1,日本,是,強殖装甲ガイバー#1
ロウきゅーぶ!,ロウきゅーぶ!,日本,是,ロウきゅーぶ!
変態王子と笑わない猫。,変態王子と笑わない猫。,日本,是,変態王子と笑わない猫。
抱かれたい男1位に脅されています。,抱かれたい男1位に脅されています。,日本,是,抱かれたい男1位に脅されています。
DEVIL SURVIVOR 2 the ANIMATION,DEVIL SURVIVOR 2 the ANIMATION,日本,是,DEVIL SURVIVOR 2 the ANIMATION|DEVILSURVIVOR2theANIMATION
カウボーイビバップ,カウボーイビバップ,日本,是,カウボーイビバップ
复仇者联盟,アベンジャーズ,日本,否,アベンジャーズ|复仇者联盟
時をかける少女,時をかける少女,日本,是,時をかける少女
Muv-Luv,マブラヴ,日本,是,マブラヴ|Muv-Luv
ARIATheNATURAL,ARIATheNATURAL,日本,是,ARIATheNATURAL
新天魔界ジェネレーションオブカオスIV,新天魔界ジェネレーションオブカオスIV,日本,是,新天魔界ジェネレーションオブカオスIV
ZOIDSゾイドジェネシス,ZOIDSゾイドジェネシス,日本,是,ZOIDSゾイドジェネシス
オーディンスフィア,オーディンスフィア,日本,是,オーディンスフィア
うる星やつら,うる星やつら,日本,是,うる星やつら
GOSICK-ゴシック-,GOSICK-ゴシック-,日本,是,GOSICK-ゴシック-
這いよれ!ニャル子さん,這いよれ!ニャル子さん,日本,是,這いよれ!ニャル子さん
戦場のヴァルキュリア3,戦場のヴァルキュリア3,日本,是,戦場のヴァルキュリア3
楽園追放-ExpelledfromParadise-,楽園追放-ExpelledfromParadise-,日本,是,楽園追放-ExpelledfromParadise-
この素晴らしい世界に爆焔を!,この素晴らしい世界に爆焔を!,日本,是,この素晴らしい世界に爆焔を!
武装神姫,武装神姫,日本,是,武装神姫
リネージュII,リネージュII,日本,是,リネージュII
魔法先生ネギま!,魔法先生ネギま!,日本,是,魔法先生ネギま!
ALDNOAH.ZERO-アルドノア・ゼロ-,ALDNOAH.ZERO-アルドノア・ゼロ-,日本,是,ALDNOAH.ZERO-アルドノア・ゼロ-
クレヨンしんちゃん,クレヨンしんちゃん,日本,是,クレヨンしんちゃん
残響のテロル,残響のテロル,日本,是,残響のテロル
HUNTER×HUNTER,HUNTER×HUNTER,日本,是,HUNTER×HUNTER|クラピカ|キルア
アクエリオンEVOL,アクエリオンEVOL,日本,是,アクエリオンEVOL
ダンジョンに出会いを求めるのは間違っているだろうか,ダンジョンに出会いを求めるのは間違っているだろうか,日本,是,ダンジョンに出会いを求めるのは間違っているだろうか
ギャラクシーエンジェル,ギャラクシーエンジェル,日本,是,ギャラクシーエンジェル
宇宙戦艦ヤマト2199,宇宙戦艦ヤマト2199,日本,是,宇宙戦艦ヤマト2199
CLANNAD-クラナド-,CLANNAD-クラナド-,日本,是,CLANNAD-クラナド-
リコリス・リコイル,リコリス・リコイル,日本,是,リコリス・リコイル|Lycoris Recoil
サマータイムレンダ,サマータイムレンダ,日本,是,サマータイムレンダ
Charlotte(シャーロット),Charlotte(シャーロット),日本,是,Charlotte(シャーロット)
魔法科高校の劣等生,魔法科高校の劣等生,日本,是,魔法科高校の劣等生
その着せ替え人形は恋をする,その着せ替え人形は恋をする,日本,是,その着せ替え人形は恋をする
sola,sola,日本,是,sola
スクールランブル,スクールランブル,日本,是,スクールランブル
この中に1人、妹がいる!,この中に1人、妹がいる!,日本,是,この中に1人、妹がいる!
ウィッチブレイド,ウィッチブレイド,日本,是,ウィッチブレイド
怪物王女,怪物王女,日本,是,怪物王女
神無月の巫女,神無月の巫女,日本,是,神無月の巫女
PSYCHO-PASS サイコパス2,PSYCHO-PASS サイコパス2,日本,是,PSYCHO-PASS サイコパス2|PSYCHO-PASSサイコパス2
LUPINtheThird～峰不二子という女～,LUPINtheThird～峰不二子という女～,日本,是,LUPINtheThird～峰不二子という女～
ストリートファイター,ストリートファイター,日本,是,ストリートファイター
Kanon,Kanon,日本,是,Kanon
魔弾戦記リュウケンドー,魔弾戦記リュウケンドー,日本,是,魔弾戦記リュウケンドー
エースコンバット,エースコンバット,日本,是,エースコンバット
キングコング,キングコング,日本,是,キングコング
花の子ルンルン,花の子ルンルン,日本,是,花の子ルンルン
死或生,DEAD OR ALIVE,日本,是,DEAD OR ALIVE|死或生|DEADORALIVE
少女☆歌劇レヴュースタァライト,少女☆歌劇レヴュースタァライト,日本,是,少女☆歌劇レヴュースタァライト|西條クロディーヌ|スタァライト九九組|Revue Starlight
キノの旅-theBeautifulWorld-,キノの旅-theBeautifulWorld-,日本,是,キノの旅-theBeautifulWorld-
新暗行御史,新暗行御史,日本,是,新暗行御史
明日のよいち!,明日のよいち!,日本,是,明日のよいち!
囚われのパルマ,囚われのパルマ,日本,是,囚われのパルマ
ローゼンメイデン,ローゼンメイデン,日本,是,ローゼンメイデン
とらドラ!,とらドラ!,日本,是,とらドラ!
鋼の錬金術師,鋼の錬金術師,日本,是,鋼の錬金術師|ハガレン
結界師,結界師,日本,是,結界師
灌篮高手,スラムダンク,日本,是,スラムダンク|SLAM DUNK|Slam Dunk
千与千寻,千と千尋の神隠し,日本,是,千と千尋の神隠し
那由多的轨迹,那由多の軌跡,日本,是,那由多の軌跡|那由多の軌跡：改
夏目友人帐,夏目友人帳,日本,是,夏目友人帳|劇場版夏目友人帳
高规格系列,ハイスペックシリーズ,日本,否,ハイスペックシリーズ
舰船套件收藏,艦船キットコレクション,日本,否,艦船キットコレクション
SHINee,SHINee,韩国,否,SHINee
回转企鹅罐,輪るピングドラム,日本,是,輪るピングドラム|RE:cycle of the PENGUINDRUM
哆啦A梦,ドラえもん,日本,是,ドラえもん|ドラえもんのうた
小鹿斑比,バンビ,欧美,否,バンビ|Bambi
星球大战,スター・ウォーズ,欧美,否,スター・ウォーズ|Star Wars|ボバ・フェット
蝙蝠侠,バットマン,欧美,否,バットマン|Batman|ニンジャバットマン
Dream Festival,ドリフェス!,日本,是,ドリフェス!
月歌。,ツキウタ。,日本,是,ツキウタ。|久我壱星|弥生春|皐月葵|霜月隼
银河战士,メトロイド,日本,是,メトロイド|METROID|Other M
零之使魔,ゼロの使い魔,日本,是,ゼロの使い魔
三国志,三國志,日本,是,三国志游戏需精确；规范IP保留
我的世界,Minecraft,跨国,否,Minecraft|我的世界|MinecraftLegends|Minecraft Legends
武士少女,SAMURAI MAIDEN,日本,是,SAMURAI MAIDEN|武士少女|SAMURAIMAIDEN
幽灵诡计,ゴーストトリック,日本,是,ゴーストトリック|幽灵诡计
心跳文学部,ドキドキ文芸部,日本,是,ドキドキ文芸部|心跳文学部
三色绘恋,三色絵恋,日本,是,三色絵恋|三色绘恋
红月摇曳的恋之灯火,紅月ゆれる恋あかり,日本,是,紅月ゆれる恋あかり|红月摇曳的恋之灯火
苍蓝雷霆GUNVOLT,蒼き雷霆ガンヴォルト,日本,是,蒼き雷霆ガンヴォルト|苍蓝雷霆GUNVOLT|GUNVOLT|ガンヴォルト
美少女梦工厂,プリンセスメーカー,日本,是,プリンセスメーカー|美少女梦工厂
索尼克,ソニック,日本,是,ソニック|索尼克|ソニックオリジンズ|ソニックスーパースターズ
逆转裁判,逆転裁判,日本,是,逆転裁判|逆转裁判|成歩堂龍一|逆転裁判5
动物森友会,あつまれ どうぶつの森,日本,是,あつまれ どうぶつの森|动物森友会|あつまれどうぶつの森|どうぶつの森
魂斗罗,魂斗羅,日本,是,魂斗羅|魂斗罗
空洞骑士,Hollow Knight,跨国,否,Hollow Knight|空洞骑士|HollowKnight
OCCULTIC;NINE,OCCULTIC;NINE,日本,是,OCCULTIC;NINE
侍魂,サムライスピリッツ,日本,是,サムライスピリッツ|侍魂
拳皇,THE KING OF FIGHTERS,日本,是,THE KING OF FIGHTERS|拳皇|THEKINGOFFIGHTERS|ザ・キング・オブ・ファイターズ|キングオブファイターズ|キング・オブ・ファイターズ|ザキングオブ　ファイターズ
无职转生,無職転生,日本,是,無職転生|无职转生|無職転生 異世界行ったら本気だす
蓝色反射,BLUE REFLECTION,日本,是,BLUE REFLECTION|蓝色反射|BLUEREFLECTION
your diary+,your diary+,日本,是,your diary+|yourdiary+
奔向青春!,かけぬけ★青春スパーキング!,日本,是,かけぬけ★青春スパーキング!|奔向青春!
致人类各位,じんるいのみなさまへ,日本,是,じんるいのみなさまへ|致人类各位
战略幻想,タクティクスオウガ,日本,是,タクティクスオウガ|战略幻想
Harvest Overlay,ハーヴェストオーバーレイ,日本,是,ハーヴェストオーバーレイ|Harvest Overlay
覆盆子立方,ラズベリーキューブ,日本,是,ラズベリーキューブ|覆盆子立方
铁路浪漫谭,レヱル・ロマネスク,日本,是,レヱル・ロマネスク|铁路浪漫谭
我的女友是美人鱼,僕の彼女は人魚姫,日本,是,僕の彼女は人魚姫|我的女友是美人鱼|僕の彼女は人魚姫!?|My Girlfriend is a Mermaid|MyGirlfriendisaMermaid|RefineMyGirlfriendisaMermaid|Refine My Girlfriend is a Mermaid|青梅竹馬是人魚姫
羁绊闪耀恋爱小曲,絆きらめく恋いろは,日本,是,絆きらめく恋いろは|羁绊闪耀恋爱小曲
黄昏沉眠之街,黄昏ニ眠ル街,日本,是,黄昏ニ眠ル街|黄昏沉眠之街
地平线,Horizon,跨国,否,Horizon|地平线
UFO机器人古连泰沙,UFOロボ グレンダイザー,日本,是,UFOロボ グレンダイザー|UFO机器人古连泰沙|UFOロボグレンダイザー|グレンダイザー
战神,ゴッド・オブ・ウォー,跨国,否,ゴッド・オブ・ウォー|战神|ゴッドオブウォー
前线任务,フロントミッション,日本,是,フロントミッション|前线任务
幻日夜羽,幻日のヨハネ,日本,否,
RWBY,RWBY,跨国,否,RWBY
老虎和兔子,TIGER & BUNNY,日本,是,TIGER & BUNNY|老虎和兔子|TIGER&BUNNY|TIGER＆BUNNY|タイガーアンドバニー
方根书简,√Letter,日本,是,√Letter|方根书简
迷宫旅人,ダンジョントラベラーズ,日本,是,ダンジョントラベラーズ|迷宫旅人
炼金工房系列,アトリエシリーズ,日本,否,アトリエシリーズ|炼金工房系列|ネルケと伝説の錬金術士たち|新たな大地のアトリエ|ライザのアトリエ|ソフィーのアトリエ
Stride Prince,プリンス・オブ・ストライド,日本,是,プリンス・オブ・ストライド|Stride Prince
女武神的传说,ヴァルキリープロファイル,日本,是,ヴァルキリープロファイル|女武神的传说
合金装备,メタルギアソリッド,日本,是,メタルギアソリッド|合金装备|メタルギア ソリッド|METAL GEAR SOLID|メタルギア・ソリッド
断罪的玛丽亚,断罪のマリア,日本,是,断罪のマリア|断罪的玛丽亚
魔鬼恋人,DIABOLIK LOVERS,日本,是,DIABOLIK LOVERS|魔鬼恋人|DIABOLIKLOVERS
帕洛迪乌斯,パロディウス,日本,是,パロディウス|帕洛迪乌斯
零系列,零,日本,是,零系列|零 ～刺青の聲～|刺青の聲|零~刺青の聲~
浪漫沙加,ロマンシング サガ,日本,是,ロマンシング サガ|浪漫沙加|ロマンシングサガ
AQUAPAZZA,AQUAPAZZA,日本,是,AQUAPAZZA
Collar Malice,Collar×Malice,日本,是,Collar×Malice|Collar Malice|CollarxMalice|カラーマリス
洛克人,ロックマン,日本,是,ロックマン|洛克人
星之卡比,星のカービィ,日本,是,星のカービィ|星之卡比|カービィ
恶魔城,悪魔城ドラキュラ,日本,是,悪魔城ドラキュラ|恶魔城|ドラキュラ伝説
香缇,シャンティ,日本,是,シャンティ|香缇
交响情人梦,のだめカンタービレ,日本,是,のだめカンタービレ|交响情人梦
ARMS,ARMS,日本,是,ARMS
夏日口袋,Summer Pockets,日本,是,Summer Pockets|夏日口袋|SummerPockets
健身环大冒险,リングフィットアドベンチャー,日本,是,リングフィットアドベンチャー|健身环大冒险
松丽华,マツリカ,日本,是,マツリカ|松丽华
魔界村,魔界村,日本,是,魔界村
魔界塔士SaGa,魔界塔士Sa・Ga,日本,是,魔界塔士Sa・Ga|魔界塔士SaGa|魔界塔士サガ|魔界塔士
十三机兵防卫圈,十三機兵防衛圏,日本,是,十三機兵防衛圏|十三机兵防卫圈
超次元游戏海王星,超次元ゲイム ネプテューヌ,日本,是,超次元ゲイム ネプテューヌ|超次元游戏海王星|超次元ゲイムネプテューヌ|ネプテューヌ|ネプトゥーヌ|ネプチューン
恶魔人,デビルマン,日本,是,デビルマン|恶魔人
Young Souls,Young Souls,跨国,否,Young Souls|YoungSouls
Bramble,Bramble: The Mountain King,跨国,否,Bramble: The Mountain King|Bramble|Bramble:TheMountainKing
模拟山羊,Goat Simulator,跨国,否,Goat Simulator|模拟山羊|GoatSimulator
Starry Sky,Starry☆Sky,日本,是,Starry☆Sky|Starry Sky|StarrySky
X战记,X（CLAMP）,日本,是,X（CLAMP）|X战记|エックス コミック|CLAMP X
天照,アマテラス,日本,是,アマテラス|天照
梦幻游戏,ふしぎ遊戯,日本,是,ふしぎ遊戯|梦幻游戏
堀与宫村,ホリミヤ,日本,是,ホリミヤ|堀与宫村
Look Back,ルックバック,日本,是,ルックバック|Look Back
小孩的玩具,こどものおもちゃ,日本,是,こどものおもちゃ|小孩的玩具
天使禁猎区,天使禁猟区,日本,是,天使禁猟区|天使禁猎区
马力欧,マリオ,日本,是,マリオ|マリオゴルフ|MARIOGOLF|MARIOTENNIS|MARIO SPORTS|スーパーマリオ|马力欧
阿拉丁,アラジン,跨国,否,アラジン|阿拉丁
金色琴弦,金色のコルダ,日本,是,金色のコルダ|金色琴弦
玻璃假面,ガラスの仮面,日本,是,ガラスの仮面|玻璃假面
斗将戴莫斯,闘将ダイモス,日本,是,闘将ダイモス|斗将戴莫斯|ダイモス
花木兰,ムーラン,跨国,否,ムーラン|花木兰
粘土人 generation,ねんどろいど じぇねれ～しょん,日本,否,ねんどろいど じぇねれ～しょん|粘土人 generation|ねんどろいどじぇねれ～しょん
罪恶王冠,ギルティクラウン,日本,是,ギルティクラウン|罪恶王冠|Guilty Crown
角落生物,すみっコぐらし,日本,否,すみっコぐらし|角落生物
英雄连,Company of Heroes,跨国,否,Company of Heroes|英雄连|CompanyofHeroes
杀戮都市,GANTZ,日本,是,GANTZ|杀戮都市
风之克罗诺亚,風のクロノア,日本,是,風のクロノア|风之克罗诺亚|クロノア
哔哔哔特辑,ビシバシスペシャル,日本,是,ビシバシスペシャル|哔哔哔特辑
地下城与勇士,Dungeon & Fighter,跨国,否,Dungeon & Fighter|地下城与勇士|Dungeon&Fighter|DNFDuel|DNF Duel
ONI空与风之哀歌,ONI -空と風の哀歌-,日本,是,ONI -空と風の哀歌-|ONI空与风之哀歌|ONI-空と風の哀歌-|ONI-空と風の哀歌|空と風の哀歌
终结者,ターミネーター,跨国,否,ターミネーター|终结者
Coffee Talk,Coffee Talk,跨国,否,Coffee Talk|CoffeeTalk|コーヒートーク
收获日,PAYDAY,跨国,否,PAYDAY|收获日
东京Psychodemic,東京サイコデミック,日本,是,東京サイコデミック|东京Psychodemic
雾战场的Verdina,霧の戦場のヴェルディーナ,日本,是,霧の戦場のヴェルディーナ|雾战场的Verdina
被遗忘的城市,The Forgotten City,跨国,否,The Forgotten City|被遗忘的城市|TheForgottenCity
Gravity Circuit,Gravity Circuit,跨国,否,Gravity Circuit|GravityCircuit
审判之眼,JUDGE EYES：死神の遺言,日本,是,JUDGE EYES：死神の遺言|审判之眼|JUDGEEYES：死神の遺言
Fantavision,ファンタビジョン,日本,是,ファンタビジョン|Fantavision
王者银河,OVERMANキングゲイナー,日本,是,OVERMANキングゲイナー|王者银河|キングゲイナー|OVERMAN|OVERMAN キングゲイナー
Riviera约定之地,Riviera～約束の地～,日本,是,Riviera～約束の地～|Riviera约定之地|リヴィエラ|Riviera|約束の地リヴィエラ
终结的炽天使,終わりのセラフ,日本,是,終わりのセラフ|终结的炽天使
射雕英雄传,射鵰英雄伝,跨国,否,射鵰英雄伝|射雕英雄传
三眼神童,三つ目がとおる,日本,是,三つ目がとおる|三眼神童
地缚少年花子君,地縛少年花子くん,日本,是,地縛少年花子くん|地缚少年花子君|地縛少年 花子くん
冰属性男子与酷酷女同事,氷属性男子とクールな同僚女子,日本,是,氷属性男子とクールな同僚女子|冰属性男子与酷酷女同事
花野井同学与恋爱病,花野井くんと恋の病,日本,是,花野井くんと恋の病|花野井同学与恋爱病
龙族,龍族,跨国,否,龍族|龙族|ランタノイド
近月少女的礼仪,月に寄りそう乙女の作法,日本,是,月に寄りそう乙女の作法|近月少女的礼仪
龙猫,となりのトトロ,日本,是,となりのトトロ|龙猫
铃兰之剑,レンドフルール,日本,是,レンドフルール|铃兰之剑
手里剑战队忍忍者,手裏剣戦隊ニンニンジャー,日本,是,手裏剣戦隊ニンニンジャー|手里剑战队忍忍者
埃罗芒阿老师,エロマンガ先生,日本,是,エロマンガ先生|埃罗芒阿老师
未闻花名,あの日見た花の名前を僕達はまだ知らない。,日本,是,あの日見た花の名前を僕達はまだ知らない。|未闻花名|あの日見た花の名前を僕達はまだ知らない
佐佐木同学不想努力,ささみさん@がんばらない,日本,是,ささみさん@がんばらない|佐佐木同学不想努力
阿顿之女,アトンの娘,日本,是,アトンの娘|阿顿之女
Welcome to ParadiZe,Welcome to ParadiZe,跨国,否,Welcome to ParadiZe|WelcometoParadiZe
Crime Boss,Crime Boss: Rockay City,跨国,否,Crime Boss: Rockay City|Crime Boss|CrimeBoss|クライムボス
纪元1800,Anno 1800,跨国,否,Anno 1800|纪元1800|アノ1800|Anno1800
Afterimage,Afterimage,跨国,否,Afterimage|アフターイメージ
Fort Solis,Fort Solis,跨国,否,Fort Solis|フォートソリス
无家可归的孩子,家なき子,跨国,否,家なき子|无家可归的孩子
遥远国度的故事,はるか遠き国の物語,日本,是,はるか遠き国の物語|遥远国度的故事
乱马1/2,らんま1/2,日本,是,らんま1/2|乱马1/2|らんま 1/2
米津玄师,米津玄師,日本,否,米津玄師|米津玄师
小甜甜,キャンディ・キャンディ,日本,是,キャンディ・キャンディ|小甜甜|キャンディキャンディ
有闲俱乐部,有閑倶楽部,日本,是,有閑倶楽部|有闲俱乐部
林肯公园,Linkin Park,跨国,否,Linkin Park|林肯公园|LINKINPARK|LINKIN PARK
1-2-Switch,1-2-Switch,跨国,否,1-2-Switch
王都妖奇谭,王都妖奇譚,日本,是,王都妖奇譚|王都妖奇谭
毒液/屠杀,Venom,跨国,否,Venom|毒液/屠杀|カーネイジ|CARNAGE
MX vs ATV,MX vs ATV,跨国,否,MX vs ATV|MXVSATV|MXVSATVLegends
你的城镇Sandrock,きみのまち サンドロック,跨国,否,きみのまち サンドロック|你的城镇Sandrock|きみのまちサンドロック
Under the Waves,Under the Waves,跨国,否,Under the Waves|UnderTheWaves|アンダー・ザ・ウェーブス
花园生活,ガーデンライフ,跨国,否,ガーデンライフ|花园生活
裂隙破坏者,The Riftbreaker,跨国,否,The Riftbreaker|裂隙破坏者|リフトブレイカー
The Chant,The Chant,跨国,否,The Chant|TheChant|ザチャント
钢铁收割,Iron Harvest,跨国,否,Iron Harvest|钢铁收割|アイアンハーベスト
